model_day,light.t,sumlight.real
73,12,4706.5
74,12,6317
75,12.5,6328
76,12.5,6369.5
77,12.5,6152
78,12.5,4677
79,12.5,3119
80,12.5,2536
81,12.5,4097.5
82,12.5,2471.5
83,12.5,5733
84,12.5,5885
85,12.5,5763
86,12.5,2736.5
87,12.5,5311
88,12.5,5532
89,12.5,6855
90,12.5,6798.5
91,12.5,5779.5
92,12.5,2886
93,12.5,4595
94,12.5,3017
95,13.5,3559
96,13.5,6112
97,13.5,6980
98,13.5,5116.5
99,13.5,4643.5
100,13.5,7507
101,13.5,4014.5
102,13.5,4283.5
103,13.5,7265.5
104,13.5,7551.5
105,13.5,3474.5
106,13.5,4215.5
107,13.5,6171.5
108,13.5,7579
109,13.5,6803
110,13.5,4564
111,13.5,2880.5
112,13.5,7875.5
113,13.5,7916.5
114,13.5,7838
115,13.5,7849
116,13.5,8005.5
117,13.5,7378.5
118,14,8106.5
119,14,4618.5
120,14,4325
121,14,5724.5
122,14,8318
123,14,8016
124,14,8065
125,14,7312
126,14,2729
127,14,3666
128,14,6985.5
129,14,4439
130,14.5,3532.5
131,14.5,7222
132,14.5,8341
133,14.5,7633
134,14.5,7416.5
148,14.5,5104.5
149,14.5,8551.5
150,14.5,8621.5
151,14.5,6877.5
152,14.5,6828.5
153,14.5,6042.5
154,14.5,8137
155,14.5,8601
156,14.5,8573.5
157,14.5,7387
158,14.5,8704.5
159,14.5,9138
160,14.5,8379.5
161,14.5,8283.5
162,14.5,7843.5
163,14.5,8652
164,14.5,8883
165,14.5,8811.5
166,14.5,8486
167,14.5,8171
168,14.5,7280
169,14.5,8753
170,14.5,8812
171,14.5,8978.5
172,14.5,7073.5
173,14.5,9006.5
174,14.5,8933
175,14.5,8574.5
176,14.5,8919
177,14.5,9053
178,14.5,9061.5
179,14.5,8570.5
180,14.5,9022.5
181,14.5,9081
182,14.5,9166.5
185,14.5,9073
186,14.5,8905.5
187,14.5,8985
188,14.5,7370.5
189,14.5,8860.5
190,14.5,8754.5
191,14.5,8792.5
192,14.5,8772.5
193,14.5,8766
194,14.5,8918.5
195,14.5,8864.5
196,14.5,8962
197,14.5,8739.5
198,14.5,8612.5
199,14.5,8619
200,14.5,8689
201,14.5,8567.5
202,14.5,8574.5
203,14.5,8272.5
204,14.5,6944
205,14.5,8256.5
206,14.5,5567.5
207,14.5,8183.5
208,14.5,8476
209,14.5,8510.5
210,14.5,8595.5
211,14.5,8558
212,14.5,8508
213,14.5,8597
214,14.5,8548.5
215,14.5,8172.5
216,14.5,8377.5
217,14.5,7356
218,14.5,8051.5
219,14,8013.5
220,14,8160.5
221,14,8195
222,14,8125
223,14,8240.5
224,13.5,8138.5
225,13.5,8141
226,13.5,8049
227,13.5,7986
